Time stamp,Value
1.62184E+12,176
1.62184E+12,177
1.62184E+12,181
1.62184E+12,185
1.62184E+12,128
1.62184E+12,146
1.62184E+12,182
1.62184E+12,105
1.62184E+12,141
1.62184E+12,147
1.62184E+12,128
1.62184E+12,115
1.62184E+12,137
1.62184E+12,196
1.62184E+12,107
1.62184E+12,116
1.62184E+12,173
1.62184E+12,109
1.62184E+12,155
1.62184E+12,200
1.62184E+12,118
1.62184E+12,185
1.62184E+12,113
1.62184E+12,159
1.62184E+12,146
1.62184E+12,112
1.62184E+12,160
1.62184E+12,111
1.62184E+12,103
1.62184E+12,169
1.62184E+12,185
1.62184E+12,198
1.62184E+12,137
1.62184E+12,170
1.62184E+12,170
1.62184E+12,129
1.62184E+12,121
1.62184E+12,115
1.62184E+12,186
1.62184E+12,197
1.62184E+12,196
1.62184E+12,141
1.62184E+12,185
1.62184E+12,179
1.62184E+12,161
1.62184E+12,184
1.62184E+12,151
1.62184E+12,200
1.62184E+12,134
1.62184E+12,152
1.62184E+12,128
1.62184E+12,162
1.62184E+12,123
1.62184E+12,128
1.62184E+12,167
1.62184E+12,167
1.62184E+12,110
1.62184E+12,191
1.62184E+12,143
1.62184E+12,111
1.62184E+12,156
1.62184E+12,149
1.62184E+12,200
1.62184E+12,150
1.62184E+12,141
1.62184E+12,130
1.62184E+12,187
1.62184E+12,184
1.62184E+12,109
1.62184E+12,189
1.62184E+12,136
1.62184E+12,123
1.62184E+12,151
1.62184E+12,104
1.62184E+12,159
1.62184E+12,129
1.62184E+12,116
1.62184E+12,141
1.62184E+12,181
1.62184E+12,188
1.62184E+12,185
1.62184E+12,198
1.62184E+12,195
1.62184E+12,156
1.62184E+12,191
1.62184E+12,102
1.62184E+12,184
1.62184E+12,183
1.62184E+12,135
1.62184E+12,127
1.62184E+12,164
1.62184E+12,158
1.62184E+12,134
1.62184E+12,192
1.62184E+12,156
1.62184E+12,150
1.62184E+12,132
1.62184E+12,102
1.62184E+12,192
1.62184E+12,143
1.62184E+12,158
1.62184E+12,136
1.62184E+12,112
1.62184E+12,136
1.62184E+12,101
1.62184E+12,142
1.62184E+12,184
1.62184E+12,112
1.62184E+12,167
1.62184E+12,113
1.62184E+12,133
1.62184E+12,129
1.62184E+12,115
1.62184E+12,199
1.62184E+12,197
1.62184E+12,160
1.62184E+12,149
1.62184E+12,104
1.62184E+12,181
1.62184E+12,190
1.62184E+12,191
1.62184E+12,178
1.62184E+12,165
1.62184E+12,187
1.62184E+12,199
1.62184E+12,194
1.62184E+12,120
1.62184E+12,189
1.62184E+12,111
1.62184E+12,188
1.62184E+12,143
1.62184E+12,191
1.62184E+12,144
1.62184E+12,141
1.62184E+12,182
1.62184E+12,111
1.62184E+12,100
1.62184E+12,125
1.62184E+12,198
1.62184E+12,190
1.62184E+12,160
1.62184E+12,177
1.62184E+12,106
1.62184E+12,149
1.62184E+12,135
1.62184E+12,126
1.62184E+12,126
1.62184E+12,150
1.62184E+12,138
1.62184E+12,126
1.62184E+12,102
1.62184E+12,182
1.62184E+12,171
1.62184E+12,157
1.62184E+12,184
1.62184E+12,107
1.62184E+12,162
1.62184E+12,105
1.62184E+12,158
1.62184E+12,181
1.62184E+12,116
1.62184E+12,175
1.62184E+12,195
1.62184E+12,137
1.62184E+12,170
1.62184E+12,192
1.62184E+12,142
1.62184E+12,185
1.62184E+12,190
1.62184E+12,175
1.62184E+12,127
1.62184E+12,142
1.62184E+12,195
1.62184E+12,131
1.62184E+12,137
1.62184E+12,159
1.62184E+12,135
1.62184E+12,156
1.62184E+12,171
1.62184E+12,171
1.62184E+12,130
1.62184E+12,184
1.62184E+12,189
1.62184E+12,122
1.62184E+12,121
1.62184E+12,176
